text;to;from;moment
Je cherche un train Senozan L'argentière-la-bessée lundi après-midi;L'argentière-la-bessée;Senozan;lundi après-midi
Guide moi de Frasne vers Saint-aubin-des-landes;Saint-aubin-des-landes;Frasne;
Je cherche un train Barr Landrecies;Landrecies;Barr;
le départ et l'arrivée de mon voyage sont Beaucaire et Péronne;Péronne;Beaucaire;
Trouve un train partant de Bouaye et allant à Gières;Gières;Bouaye;
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Yzeure et gare de Achiet-le-grand;Achiet-le-grand;Yzeure;
La ligne Millas La rouge;La rouge;Millas;
Je veux trouver un trajet de Kilstett à Saint-ours;Saint-ours;Kilstett;
Je prends le train Relecq-kerhuon (le ) Corcy;Corcy;Relecq-kerhuon (le );
Je veux aller de Champtocé-sur-loire à Auxerre;Auxerre;Champtocé-sur-loire;
Je veux aller à Saint-priest-de-gimel depuis Saint-blaise-la-roche;Saint-priest-de-gimel;Saint-blaise-la-roche;
Je prends le train Brienne-le-château Champigny;Champigny;Brienne-le-château;
Quel est l'itinéraire entre Engenville et Wimille;Wimille;Engenville;
je vais à Rouessé-vassé depuis Druye;Rouessé-vassé;Druye;
Je prends le train La suze-sur-sarthe Belleville-sur-vie;Belleville-sur-vie;La suze-sur-sarthe;
je veux partir de Santes pour Trinite (la );Trinite (la );Santes;
Je souhaiterai avoir des informations sur le train Bolbec Boën qui part dimanche matin;Boën;Bolbec;dimanche matin
Je suis actuellement à Velars-sur-ouche et j’aimerais partir à Merrey jeudi matin;Merrey;Velars-sur-ouche;jeudi matin
lundi soir, je vais à La ferté-saint-aubin depuis Marbache;La ferté-saint-aubin;Marbache;lundi soir
Je souhaiterai avoir des informations sur le train Santenay Tracy-sur-loire qui part bientôt;Tracy-sur-loire;Santenay;bientôt
Ma provenance et ma destination sont Beaugency et Saint-priest-de-gimel;Saint-priest-de-gimel;Beaugency;
Le train Nogent-le-rotrou Tourville-la-rivière;Tourville-la-rivière;Nogent-le-rotrou;
Je quitte La coquille pour Arbois;Arbois;La coquille;
je viens de Égly et je veux aller à Gan;Gan;Égly;
Je suis à Saint-cergues et je veux aller à Crest;Crest;Saint-cergues;
dans une heure Isles-les-meldeuses Saint-sulpice-et-cameyrac;Saint-sulpice-et-cameyrac;Isles-les-meldeuses;dans une heure
je viens de Saint-hilaire-de-villefranche et je veux aller à Luneville;Luneville;Saint-hilaire-de-villefranche;
Je veux aller de Montaigu à Fourmies;Fourmies;Montaigu;
Je veux le trajet de Henin-beaumont à Baume-les-dames;Baume-les-dames;Henin-beaumont;
Depuis Levallois-perret à Joeuf;Joeuf;Levallois-perret;
Je pars vendredi après-midi de Vieux-manoir pour aller à Biars-sur-cère;Biars-sur-cère;Vieux-manoir;vendredi après-midi
Je veux le trajet de Saint-sébastien à Castres;Castres;Saint-sébastien;
Quel trajet pour Le monastier-pin-moriès Vern-sur-seiche;Vern-sur-seiche;Le monastier-pin-moriès;
je partirais de Saint-cyr-en-val pour aller à Corbeil-essonnes;Corbeil-essonnes;Saint-cyr-en-val;
jeudi, je voudrais aller de Fontainebleau à Varetz;Varetz;Fontainebleau;jeudi
Guide moi de Marsac-sur-l'isle vers La perche;La perche;Marsac-sur-l'isle;
Comment aller de Arc-lès-gray à Foix mercredi après-midi;Foix;Arc-lès-gray;mercredi après-midi
Je me rends à Avenay-val-d'or en partant de Tournan-en-brie;Avenay-val-d'or;Tournan-en-brie;
Je veux aller de Perigueux à Voiron;Voiron;Perigueux;
Ma provenance et ma destination sont Wizernes et Montierchaume;Montierchaume;Wizernes;
Le train Gauriaguet Muizon;Muizon;Gauriaguet;
je veux partir de Breuillet pour Saint-martin-le-beau;Saint-martin-le-beau;Breuillet;
Je cherche un trajet de Saint-macaire à La douze;La douze;Saint-macaire;
mercredi soir je partirais de Amifontaine pour aller à Courneuve (la );Courneuve (la );Amifontaine;mercredi soir
Indique moi le chemin pour Souvigny depuis Laissac;Souvigny;Laissac;
train Lipsheim Seurre;Seurre;Lipsheim;
Je veux aller de Chambon-feugerolles (le ) à La ville-dieu-du-temple demain après-midi;La ville-dieu-du-temple;Chambon-feugerolles (le );demain après-midi
trajet Vertou Leyment;Leyment;Vertou;
Je prends le train Rai Laizy;Laizy;Rai;
La ligne Gorges Saint-geniès-de-malgoirès;Saint-geniès-de-malgoirès;Gorges;
Je veux aller à Chalons-en-champagne depuis Montigny-le-bretonneux;Chalons-en-champagne;Montigny-le-bretonneux;
Je cherche le train le plus rapide pour faire La tour-de-salvagny Veynes;Veynes;La tour-de-salvagny;
Je me rends à Avion en partant de Beauvoir-sur-niort;Avion;Beauvoir-sur-niort;
La ligne Cassis Écouflant;Écouflant;Cassis;
Je quitte Plouëc-du-trieux pour Martigné-ferchaud;Martigné-ferchaud;Plouëc-du-trieux;
Quel est l'itinéraire entre Trappes et Walbourg;Walbourg;Trappes;
Quel est l'itinéraire entre Monnerville et Esternay;Esternay;Monnerville;
Je pars de Aime pour aller à Foëcy;Foëcy;Aime;
Je pars de Monsempron-libos pour aller à Salindres;Salindres;Monsempron-libos;
le mois prochain je partirais de Bandol pour aller à Cavignac;Cavignac;Bandol;le mois prochain
arrivée Clamecy et départ Yzeure;Clamecy;Yzeure;
Le train Iteuil Saint-priest-de-gimel;Saint-priest-de-gimel;Iteuil;
Je voudrais aller de La chapelle-de-guinchay à Creteil vendredi soir;Creteil;La chapelle-de-guinchay;vendredi soir
Breil-sur-roya vendredi matin depuis Thiviers;Breil-sur-roya;Thiviers;vendredi matin
j'aimerais me rendre à Saint-ouen-du-breuil en quittant Vernaison;Saint-ouen-du-breuil;Vernaison;
Je pars samedi matin de Vaulry pour aller à Saint-béron;Saint-béron;Vaulry;samedi matin
de Verdun-sur-le-doubs à La perche;La perche;Verdun-sur-le-doubs;
Je veux aller à Nançois-sur-ornain depuis Mamirolle;Nançois-sur-ornain;Mamirolle;
Le train Kintzheim Saint-genouph;Saint-genouph;Kintzheim;
Baudemont Vallon-en-sully samedi soir;Vallon-en-sully;Baudemont;samedi soir
Quel trajet pour Viarmes Trilport;Trilport;Viarmes;
Je cherche un trajet de Froncles à Us;Us;Froncles;
Le train Stenay Sallèles-d'aude;Sallèles-d'aude;Stenay;
itinéraire de voyage de Poigny vers Port-saint-père;Port-saint-père;Poigny;
samedi Grigny Engenville;Engenville;Grigny;samedi
arrivée Seugy et départ Ribécourt-dreslincourt;Seugy;Ribécourt-dreslincourt;
Quel trajet pour Chasseneuil-sur-bonnieure Revin;Revin;Chasseneuil-sur-bonnieure;
Je pars de Neuves-maisons pour aller à Étrépagny;Étrépagny;Neuves-maisons;
Je veux me rendre à Grand-quevilly (le ) en partant de Saint-mathurin-sur-loire;Grand-quevilly (le );Saint-mathurin-sur-loire;
Le train Bazeilles Cubzac-les-ponts;Cubzac-les-ponts;Bazeilles;
train Buno-bonnevaux La ferté-imbault;La ferté-imbault;Buno-bonnevaux;
Je prends le train Coueron Varangéville;Varangéville;Coueron;
Ma provenance et ma destination sont Sérézin-du-rhône et Chars;Chars;Sérézin-du-rhône;
Emmène moi de Damblain à Langon;Langon;Damblain;
Manosque bientôt depuis Saint-julien;Manosque;Saint-julien;bientôt
Je prends le train Saint-prest Saint-nazaire;Saint-nazaire;Saint-prest;
Muhlbach-sur-munster Moûtiers;Moûtiers;Muhlbach-sur-munster;
itinéraire de voyage de Rully vers Quincieux;Quincieux;Rully;
Donne moi l'itinéraire pour aller à Garde (la ) en partant de Pontarlier;Garde (la );Pontarlier;
Je pars de Jeumont pour aller à Beuvrages mardi après-midi;Beuvrages;Jeumont;mardi après-midi
Allons à Châteauneuf-sur-isère depuis Rothau;Châteauneuf-sur-isère;Rothau;
Je prends le train Narbonne Bolquère;Bolquère;Narbonne;
Je souhaiterai avoir des informations sur le train Bollene Sept-saulx;Sept-saulx;Bollene;
Je suis à Marolles-en-hurepoix et je veux aller à Bailleul-sir-berthoult;Bailleul-sir-berthoult;Marolles-en-hurepoix;
le départ et l'arrivée de mon voyage sont Chelles et Cercy-la-tour;Cercy-la-tour;Chelles;
L'arrivée et le départ de mon voyage sont Pontgibaud et Narbonne;Pontgibaud;Narbonne;
Je veux me rendre à Jaux en partant de Puybrun;Jaux;Puybrun;
J'irai bien à la gare de La verpillière depuis la gare de Dachstein;La verpillière;Dachstein;
Je voudrais aller de Monnerville à Saint-cyprien dans six heures;Saint-cyprien;Monnerville;dans six heures
Je cherche un trajet de Pierre-benite à Toul dimanche soir;Toul;Pierre-benite;dimanche soir
itinéraire jusqu'a Nérondes en partant de Sallaumines;Nérondes;Sallaumines;
Indique moi le chemin pour Nuits-saint-georges depuis Fumay;Nuits-saint-georges;Fumay;
Je souhaiterai avoir des informations sur le train Chamelet Seyne-sur-mer (la );Seyne-sur-mer (la );Chamelet;
trajet Beziers Buchères;Buchères;Beziers;
Ma destination et ma provenance sont Aurec-sur-loire et Montigny-sur-loing;Aurec-sur-loire;Montigny-sur-loing;
Itiniréraire jusqu'a Granville depuis Caudrot;Granville;Caudrot;
bientôt je partirais de Vallon-en-sully pour aller à Angerville;Angerville;Vallon-en-sully;bientôt
le départ et l'arrivée de mon voyage sont Laifour et Fors;Fors;Laifour;
Je suis à Libourne et je souhaite me rendre à Picquigny;Picquigny;Libourne;
de Ay à Riedseltz;Riedseltz;Ay;
Je cherche un trajet de Sain-bel à Fontenay-le-fleury samedi soir;Fontenay-le-fleury;Sain-bel;samedi soir
La ligne Gilly-lès-cîteaux Le château-d'almenêches;Le château-d'almenêches;Gilly-lès-cîteaux;
Quel trajet pour Ancerville Saint-priest-taurion;Saint-priest-taurion;Ancerville;
Comment aller à Preignac depuis Lacq;Preignac;Lacq;
Je cherche un train Breny Bordeaux aujourd'hui;Bordeaux;Breny;aujourd'hui
train Selommes Concarneau;Concarneau;Selommes;
Comment aller de Theillay à Liverdun dans quatre heures;Liverdun;Theillay;dans quatre heures
train Saillat-sur-vienne Belvès;Belvès;Saillat-sur-vienne;
jeudi matin je partirais de Sainte-colombe-sur-seine pour aller à Espéraza;Espéraza;Sainte-colombe-sur-seine;jeudi matin
Comment aller de Le lardin-saint-lazare à Lumes dimanche matin;Lumes;Le lardin-saint-lazare;dimanche matin
J'irai bien à la gare de Fondamente depuis la gare de Lalinde;Fondamente;Lalinde;
Je prends le train Orval Port-de-bouc;Port-de-bouc;Orval;
Je pars mardi de Montreuil pour aller à Gourdan-polignan;Gourdan-polignan;Montreuil;mardi
Je veux aller de Morgny-la-pommeraye à Bollene;Bollene;Morgny-la-pommeraye;
Je pars de La crèche pour aller à Gisors;Gisors;La crèche;
itinéraire jusqu'a Oullins en partant de Donjeux;Oullins;Donjeux;
Je souhaiterai avoir des informations sur le train Sainte-eulalie Trémolat;Trémolat;Sainte-eulalie;
Je suis à Avranches et je veux aller à Nimes;Nimes;Avranches;
Je prends le train Pringy Miniac-morvan;Miniac-morvan;Pringy;
je viens de Neufchâteau et je veux aller à Saint-juéry;Saint-juéry;Neufchâteau;
Saintes Virville;Virville;Saintes;
train Aubusson Montescourt-lizerolles;Montescourt-lizerolles;Aubusson;
j'aimerais partir de Marolles-en-hurepoix pour me rendre à Rognac;Rognac;Marolles-en-hurepoix;
Itiniréraire jusqu'a Vic-la-gardiole depuis Brienne-le-château;Vic-la-gardiole;Brienne-le-château;
J'aimerais me rendre sur Le cheylas en partant de Longueil-annel;Le cheylas;Longueil-annel;
lundi je partirais de Courtenay pour aller à Aubusson;Aubusson;Courtenay;lundi
je vais à Crouy depuis Le teich;Crouy;Le teich;
Sorgues Ronchin samedi;Ronchin;Sorgues;samedi
Je cherche un train Muret Avion mardi soir;Avion;Muret;mardi soir
je partirais de Eygliers pour aller à Chenevières;Chenevières;Eygliers;
Quel est l'itinéraire entre Gannat et Bourth;Bourth;Gannat;
itinéraire de voyage de Saint-fargeau-ponthierry vers Pleyber-christ;Pleyber-christ;Saint-fargeau-ponthierry;
J'aimerais me rendre sur Neuilly-sur-marne en partant de Tréon;Neuilly-sur-marne;Tréon;
Épernon maintenant depuis Château-l'évêque;Épernon;Château-l'évêque;maintenant
J'irai bien à la gare de Givet depuis la gare de Corbehem;Givet;Corbehem;
Je pars de Lipsheim pour aller à Saint-hilaire-de-riez dans cinq heures;Saint-hilaire-de-riez;Lipsheim;dans cinq heures
le départ et l'arrivée de mon voyage sont Crepy-en-valois et Fontenay-le-fleury;Fontenay-le-fleury;Crepy-en-valois;
ils veulent aller de Montescourt-lizerolles jusqu'à Landry;Landry;Montescourt-lizerolles;
Je veux me rendre à Mirecourt en partant de Le theil-de-bretagne;Mirecourt;Le theil-de-bretagne;
Ma destination et ma provenance sont Saint-denis-de-pile et Gambsheim;Saint-denis-de-pile;Gambsheim;
Comment me rendre à Conlie depuis Carhaix-plouguer;Conlie;Carhaix-plouguer;
Lescar Tréon;Tréon;Lescar;
Je suis à Rosny-sur-seine et je souhaite me rendre à Ballan-miré;Ballan-miré;Rosny-sur-seine;
le départ et l'arrivée de mon voyage sont Groslay et Caffiers;Caffiers;Groslay;
Depuis Laluque à Dercy;Dercy;Laluque;
Trouve le chemin pour Audes depuis Durtol.;Audes;Durtol;
Je suis à Salbris et je souhaite me rendre à Saint-claude;Saint-claude;Salbris;
trajet Langeac Cazères;Cazères;Langeac;
Je pars jeudi de Dives-sur-mer pour aller à Fréteval;Fréteval;Dives-sur-mer;jeudi
Comment aller de Le cellier à Vernaison;Vernaison;Le cellier;
vendredi après-midi Camiers Amboise;Amboise;Camiers;vendredi après-midi
j'aimerais partir de Mortagne-du-nord pour me rendre à Habsheim;Habsheim;Mortagne-du-nord;
je partirais de Lavaveix-les-mines pour aller à Gondrecourt-le-château;Gondrecourt-le-château;Lavaveix-les-mines;
Je prends le train Vallon-en-sully Thiers;Thiers;Vallon-en-sully;
itinéraire jusqu'a Montbré en partant de Cugand;Montbré;Cugand;
Je cherche un trajet de Oissel à Le breuil-sur-couze dans cinq heures;Le breuil-sur-couze;Oissel;dans cinq heures
Trouve un train partant de Valence et allant à Anchamps;Anchamps;Valence;
Je pars de Verneuil-sur-avre pour aller à Mundolsheim;Mundolsheim;Verneuil-sur-avre;
Mailly-la-ville dimanche matin depuis Chépy;Mailly-la-ville;Chépy;dimanche matin
Je veux le trajet de Lumes à Veigné;Veigné;Lumes;
Coursan vendredi soir depuis Oiry;Coursan;Oiry;vendredi soir
Port-saint-louis-du-rhone Fontan mardi;Fontan;Port-saint-louis-du-rhone;mardi
Je cherche un train Thenissey Pérols-sur-vézère;Pérols-sur-vézère;Thenissey;
vendredi soir Chissay-en-touraine Wallers;Wallers;Chissay-en-touraine;vendredi soir
Je pars de Mézin pour aller à Saint-laurent-du-var;Saint-laurent-du-var;Mézin;
Comment aller de Oderen à Tendu;Tendu;Oderen;
itinéraire de voyage de Saint-éloy-les-mines vers Val-de-vesle;Val-de-vesle;Saint-éloy-les-mines;
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Mourioux-vieilleville et gare de Ales;Ales;Mourioux-vieilleville;
Je suis à La roche-sur-foron et je souhaite me rendre à Origny-en-thiérache;Origny-en-thiérache;La roche-sur-foron;
Emmène moi de Meroux à Saint-thibéry;Saint-thibéry;Meroux;
samedi après-midi Beziers Les églisottes-et-chalaures;Les églisottes-et-chalaures;Beziers;samedi après-midi
de Ferrière-la-grande à Wambrechies;Wambrechies;Ferrière-la-grande;
Je pars de Chateaudun pour aller à Lunel-viel;Lunel-viel;Chateaudun;
L'arrivée et le départ de mon voyage sont Pomas et Morhange;Pomas;Morhange;
Trouve un train partant de Nantouillet et allant à Aubiet;Aubiet;Nantouillet;
itinéraire de voyage de Roscoff vers Saint-macaire;Saint-macaire;Roscoff;
Je cherche un train Champagné Exideuil;Exideuil;Champagné;
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Gerzat et gare de Espéraza;Espéraza;Gerzat;
Quel est l'itinéraire entre Bouchemaine et Éveux;Éveux;Bouchemaine;
Je veux aller de Dangé-saint-romain à Comines;Comines;Dangé-saint-romain;
Comment aller de Chessy à Le teich;Le teich;Chessy;
Je cherche le train le plus rapide pour faire Chateaudun Baule samedi soir;Baule;Chateaudun;samedi soir
Je voudrais aller de La ménitré à Margny-lès-compiègne dans deux heures;Margny-lès-compiègne;La ménitré;dans deux heures
Emmène moi de Croix à Ormoy-villers;Ormoy-villers;Croix;
Je pars de Rethel pour aller à Annemasse;Annemasse;Rethel;
Comment me rendre à Lardy depuis Le thou;Lardy;Le thou;
je veux partir de Loudéac pour Vaulry;Vaulry;Loudéac;
Je me rends à Migny en partant de Yutz;Migny;Yutz;
la semaine prochaine je partirais de Vallon-en-sully pour aller à Racquinghem;Racquinghem;Vallon-en-sully;la semaine prochaine
